"","x"
"209",12.7951062756748
"210",8.43400094178239
"211",10.2014586379388
"212",11.985824258993
"213",11.9559804909711
"214",13.1316488831188
"215",13.0994227640028
"216",12.5738915782814
"217",9.48518210720015
"218",10.2225474027386
"219",13.2261085699825
"220",13.1950162114575
"221",13.4202190542516
"222",13.9149436001937
"223",12.6090154798516
"224",7.99964491071554
"225",9.49435992483762
"226",11.375384084131
"227",10.7136023888875
"228",10.2867731832596
"229",10.4645601517463
"230",10.8526962277101
"231",9.1926577135243
"232",11.5613989968981
"233",13.5906464651687
"234",12.5586008764593
"235",12.0609287561765
"236",12.0381272450182
"237",12.9777612386248
"238",8.72698332677316
"239",10.16462419324
"240",11.2808829310971
"241",11.9312758273609
"242",11.9113838378205
"243",12.8440569495815
"244",11.8731297056993
"245",7.83405057831816
"246",10.0494593637727
"247",11.5941534367525
"248",11.8026777883325
"249",11.3410581330994
"250",11.3257539863881
"251",11.3109062054662
"252",7.90902709428901
"253",9.7650349233322
"254",11.0541520488207
"255",10.4216335534832
"256",10.4099274875159
"257",11.0169408706498
"258",11.0053697947862
"259",7.84701600575833
"260",9.32487663138333
"261",10.7638366889482
"262",10.3478210140452
"263",12.2949270430828
"264",10.9443654123534
"265",12.2747320362951
"266",8.26289742594233
"267",9.63416545513974
"268",10.102597772214
"269",9.52919527838605
"270",9.70824941812245
"271",10.0832734489844
"272",10.8842819931618
"273",7.76435113458196
"274",9.23097106856539
"275",10.4571037906799
"276",10.4524217289951
"277",10.0533800150532
"278",11.280155753851
"279",11.0611012842038
"280",7.7416798041113
"281",8.20160502475515
"282",10.2320704690609
"283",10.2296233738013
"284",10.628986676082
"285",10.4243962496523
"286",10.2240307966346
"287",6.8868783658024
"288",8.35035729092534
"289",10.4196961744426
"290",10.2205389541964
"291",10.220353845008
"292",10.2204379468555
"293",10.220788339138
"294",6.88597764937079
"295",9.19469807537831
"296",10.4221552529642
"297",10.029811953877
"298",9.46840683248747
"299",9.47015495536989
"300",9.65627301672197
"301",6.50677243732136
"302",7.89227746372413
"303",9.85155277288143
"304",9.85452896065988
"305",10.04936712124
"306",10.0528553811231
"307",11.5075412333361
"308",6.90933862943168
"309",8.06524403056703
"310",9.68865078628517
"311",9.88149274376352
"312",9.88619002846836
"313",9.89109110436546
"314",9.70747653967931
"315",6.67046166571623
"316",9.08434254343468
"317",10.5021140345713
"318",10.5083466669402
"319",10.314266328704
"320",10.7259500095224
"321",11.3711108961637
"322",7.09741351031062
"323",8.61237050545355
"324",10.5498556152495
"325",10.9719059791772
"326",10.3637221025583
"327",10.5731377623524
"328",10.3794748885101
"329",7.85491876840726
"330",9.17256091741717
"331",10.6066452287015
"332",10.6154449861356
"333",10.4218049764531
"334",10.4307560987203
"335",10.0454904069125
"336",7.0393892448855
"337",8.54380879099902
"338",10.4680927976085
"339",10.6814895108821
"340",10.4876446827236
"341",10.4976325245082
"342",12.0238310740229
"343",7.95353245272373
"344",9.47006043289288
"345",11.8295369534801
"346",11.8414923021492
"347",11.8535877442274
"348",11.6395432930732
"349",11.2115246885727
"350",7.41676808094951
"351",8.83159942135867
"352",11.9160626896063
"353",10.8340935370235
"354",10.4361832268941
"355",10.8577997518955
"356",12.2009277329681
"357",8.22870526902607
"358",9.79900797053047
"359",11.7795754155412
"360",12.4941948776334
"361",12.5084758668796
"362",12.0497961393433
"363",12.0637235709252
"364",8.29473680817386
"365",9.68972099730719
